time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,4,2
2024-08-29 00:00:00+00:00,0,0,6,4
2024-08-30 00:00:00+00:00,0,0,21,2
2024-08-31 00:00:00+00:00,0,0,4,1
2024-09-01 00:00:00+00:00,0,0,2,2
2024-09-02 00:00:00+00:00,0,0,11,3
2024-09-03 00:00:00+00:00,0,0,65,4
2024-09-04 00:00:00+00:00,0,0,13,2
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-06 00:00:00+00:00,0,0,50,4
2024-09-10 00:00:00+00:00,0,0,48,7
2024-09-11 00:00:00+00:00,0,0,5,3
2024-09-12 00:00:00+00:00,0,0,42,3
2024-09-13 00:00:00+00:00,0,0,41,2
2024-09-15 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,0,0,6,4
2024-09-19 00:00:00+00:00,0,0,4,4
2024-09-20 00:00:00+00:00,0,0,3,3
2024-09-23 00:00:00+00:00,0,0,130,2
2024-09-24 00:00:00+00:00,0,0,91,2
2024-09-25 00:00:00+00:00,0,0,61,2
2024-09-26 00:00:00+00:00,0,0,11,4
2024-09-27 00:00:00+00:00,0,0,5,1
2024-09-29 00:00:00+00:00,0,0,3,1
2024-09-30 00:00:00+00:00,0,0,12,2
2024-10-01 00:00:00+00:00,0,0,11,4
2024-10-02 00:00:00+00:00,0,0,7,2
2024-10-03 00:00:00+00:00,0,0,112,4
2024-10-04 00:00:00+00:00,1,1,6,5
2024-10-06 00:00:00+00:00,0,0,2,2
2024-10-07 00:00:00+00:00,0,0,5,2
2024-10-09 00:00:00+00:00,0,0,61,3
2024-10-10 00:00:00+00:00,0,0,113,3
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,6,2
2024-10-15 00:00:00+00:00,0,0,11,3
2024-10-16 00:00:00+00:00,0,0,10,4
2024-10-17 00:00:00+00:00,0,0,7,3
2024-10-18 00:00:00+00:00,0,0,8,4
2024-10-19 00:00:00+00:00,0,0,3,2
2024-10-20 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,7,1
2024-10-22 00:00:00+00:00,0,0,3,1
2024-10-23 00:00:00+00:00,0,0,2,2
2024-10-25 00:00:00+00:00,0,0,26,2
2024-10-27 00:00:00+00:00,1,1,20,1
2024-10-28 00:00:00+00:00,0,0,10,3
2024-10-29 00:00:00+00:00,0,0,2,2
2024-10-31 00:00:00+00:00,0,0,2,1
2024-11-01 00:00:00+00:00,0,0,3,3
2024-11-04 00:00:00+00:00,0,0,14,3
2024-11-05 00:00:00+00:00,0,0,20,3
