time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,0,0,1,1
2024-08-28 00:00:00+00:00,2,2,78,18
2024-08-29 00:00:00+00:00,2,2,253,34
2024-08-30 00:00:00+00:00,2,2,222,21
2024-08-31 00:00:00+00:00,0,0,56,7
2024-09-01 00:00:00+00:00,0,0,72,5
2024-09-02 00:00:00+00:00,0,0,108,23
2024-09-03 00:00:00+00:00,0,0,194,26
2024-09-04 00:00:00+00:00,1,1,285,23
2024-09-05 00:00:00+00:00,4,4,298,19
2024-09-06 00:00:00+00:00,1,1,250,15
2024-09-07 00:00:00+00:00,0,0,75,10
2024-09-08 00:00:00+00:00,0,0,42,6
2024-09-09 00:00:00+00:00,1,1,315,18
2024-09-10 00:00:00+00:00,1,1,445,36
2024-09-11 00:00:00+00:00,1,1,156,20
2024-09-12 00:00:00+00:00,1,1,338,24
2024-09-13 00:00:00+00:00,1,1,227,13
2024-09-14 00:00:00+00:00,1,1,386,7
2024-09-15 00:00:00+00:00,0,0,8,4
2024-09-16 00:00:00+00:00,1,1,183,20
2024-09-17 00:00:00+00:00,0,0,220,23
2024-09-18 00:00:00+00:00,0,0,196,21
2024-09-19 00:00:00+00:00,0,0,271,27
2024-09-20 00:00:00+00:00,0,0,418,26
2024-09-21 00:00:00+00:00,1,1,163,12
2024-09-22 00:00:00+00:00,0,0,65,10
2024-09-23 00:00:00+00:00,2,2,553,37
2024-09-24 00:00:00+00:00,0,0,119,18
2024-09-25 00:00:00+00:00,4,3,332,16
2024-09-26 00:00:00+00:00,3,1,135,25
2024-09-27 00:00:00+00:00,0,0,72,18
2024-09-28 00:00:00+00:00,0,0,33,13
2024-09-29 00:00:00+00:00,0,0,37,5
2024-09-30 00:00:00+00:00,0,0,128,24
2024-10-01 00:00:00+00:00,1,1,138,20
2024-10-02 00:00:00+00:00,2,2,50,15
2024-10-03 00:00:00+00:00,0,0,89,19
2024-10-04 00:00:00+00:00,0,0,109,23
2024-10-05 00:00:00+00:00,1,1,198,12
2024-10-06 00:00:00+00:00,0,0,16,7
2024-10-07 00:00:00+00:00,0,0,86,22
2024-10-08 00:00:00+00:00,1,1,93,25
2024-10-09 00:00:00+00:00,0,0,139,26
2024-10-10 00:00:00+00:00,0,0,109,25
2024-10-11 00:00:00+00:00,1,1,57,14
2024-10-12 00:00:00+00:00,0,0,30,10
2024-10-13 00:00:00+00:00,3,1,35,10
2024-10-14 00:00:00+00:00,1,1,83,26
2024-10-15 00:00:00+00:00,0,0,110,20
2024-10-16 00:00:00+00:00,0,0,191,27
2024-10-17 00:00:00+00:00,0,0,132,21
2024-10-18 00:00:00+00:00,0,0,127,21
2024-10-19 00:00:00+00:00,0,0,12,6
2024-10-20 00:00:00+00:00,0,0,4,4
2024-10-21 00:00:00+00:00,1,1,286,23
2024-10-22 00:00:00+00:00,1,1,68,15
2024-10-23 00:00:00+00:00,1,1,93,26
2024-10-24 00:00:00+00:00,0,0,30,15
2024-10-25 00:00:00+00:00,2,2,37,15
2024-10-26 00:00:00+00:00,1,1,46,6
2024-10-27 00:00:00+00:00,0,0,29,8
2024-10-28 00:00:00+00:00,0,0,69,24
2024-10-29 00:00:00+00:00,0,0,69,26
2024-10-30 00:00:00+00:00,0,0,69,18
2024-10-31 00:00:00+00:00,1,1,90,15
2024-11-01 00:00:00+00:00,2,2,313,16
2024-11-02 00:00:00+00:00,0,0,77,8
2024-11-03 00:00:00+00:00,0,0,41,8
2024-11-04 00:00:00+00:00,0,0,105,20
2024-11-05 00:00:00+00:00,0,0,57,15
2024-11-06 00:00:00+00:00,2,2,63,27
2024-11-07 00:00:00+00:00,0,0,71,18
2024-11-08 00:00:00+00:00,0,0,58,14
2024-11-09 00:00:00+00:00,0,0,56,14
2024-11-10 00:00:00+00:00,0,0,7,2
