time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,0,0,32,2
2024-08-28 00:00:00+00:00,1,1,378,14
2024-08-29 00:00:00+00:00,0,0,44,5
2024-08-30 00:00:00+00:00,0,0,45,7
2024-08-31 00:00:00+00:00,1,1,15,4
2024-09-01 00:00:00+00:00,0,0,23,7
2024-09-02 00:00:00+00:00,0,0,36,8
2024-09-03 00:00:00+00:00,0,0,102,20
2024-09-04 00:00:00+00:00,1,1,49,10
2024-09-05 00:00:00+00:00,1,1,115,10
2024-09-06 00:00:00+00:00,1,1,57,10
2024-09-07 00:00:00+00:00,0,0,6,2
2024-09-08 00:00:00+00:00,0,0,17,5
2024-09-09 00:00:00+00:00,4,4,82,17
2024-09-10 00:00:00+00:00,2,2,37,8
2024-09-11 00:00:00+00:00,1,1,65,12
2024-09-12 00:00:00+00:00,1,1,144,12
2024-09-13 00:00:00+00:00,2,2,67,12
2024-09-14 00:00:00+00:00,1,1,30,5
2024-09-15 00:00:00+00:00,1,1,11,4
2024-09-16 00:00:00+00:00,1,1,103,14
2024-09-17 00:00:00+00:00,0,0,18,7
2024-09-18 00:00:00+00:00,0,0,15,6
2024-09-19 00:00:00+00:00,3,3,92,17
2024-09-20 00:00:00+00:00,2,2,50,10
2024-09-21 00:00:00+00:00,0,0,8,3
2024-09-22 00:00:00+00:00,1,1,7,2
2024-09-23 00:00:00+00:00,0,0,52,9
2024-09-24 00:00:00+00:00,1,1,95,23
2024-09-25 00:00:00+00:00,2,2,151,13
2024-09-26 00:00:00+00:00,1,1,15,5
2024-09-27 00:00:00+00:00,0,0,13,7
2024-09-28 00:00:00+00:00,0,0,16,5
2024-09-29 00:00:00+00:00,2,1,9,3
2024-09-30 00:00:00+00:00,1,1,43,10
2024-10-01 00:00:00+00:00,3,3,13,7
2024-10-02 00:00:00+00:00,2,2,9,4
2024-10-03 00:00:00+00:00,0,0,15,6
2024-10-04 00:00:00+00:00,0,0,19,10
2024-10-05 00:00:00+00:00,0,0,5,1
2024-10-06 00:00:00+00:00,0,0,7,3
2024-10-07 00:00:00+00:00,0,0,26,5
2024-10-08 00:00:00+00:00,3,2,54,13
2024-10-09 00:00:00+00:00,1,1,22,10
2024-10-10 00:00:00+00:00,2,2,34,15
2024-10-11 00:00:00+00:00,0,0,66,9
2024-10-12 00:00:00+00:00,0,0,16,6
2024-10-13 00:00:00+00:00,0,0,27,6
2024-10-14 00:00:00+00:00,5,5,123,24
2024-10-15 00:00:00+00:00,0,0,20,8
2024-10-16 00:00:00+00:00,0,0,30,11
2024-10-17 00:00:00+00:00,0,0,16,6
2024-10-18 00:00:00+00:00,1,1,28,10
2024-10-19 00:00:00+00:00,1,1,3,2
2024-10-20 00:00:00+00:00,0,0,28,9
2024-10-21 00:00:00+00:00,1,1,25,12
2024-10-22 00:00:00+00:00,0,0,10,6
2024-10-23 00:00:00+00:00,0,0,20,7
2024-10-24 00:00:00+00:00,0,0,21,7
2024-10-25 00:00:00+00:00,1,1,3,3
2024-10-26 00:00:00+00:00,1,1,6,4
2024-10-27 00:00:00+00:00,0,0,13,3
2024-10-28 00:00:00+00:00,0,0,10,4
2024-10-29 00:00:00+00:00,0,0,19,6
2024-10-30 00:00:00+00:00,1,1,7,5
2024-10-31 00:00:00+00:00,1,1,8,6
2024-11-01 00:00:00+00:00,0,0,6,5
2024-11-02 00:00:00+00:00,0,0,6,2
2024-11-03 00:00:00+00:00,0,0,4,2
2024-11-04 00:00:00+00:00,2,2,17,6
2024-11-05 00:00:00+00:00,1,1,24,9
2024-11-06 00:00:00+00:00,1,1,31,10
2024-11-07 00:00:00+00:00,0,0,23,7
2024-11-08 00:00:00+00:00,0,0,7,4
2024-11-09 00:00:00+00:00,0,0,4,2
2024-11-10 00:00:00+00:00,0,0,3,3
2024-11-11 00:00:00+00:00,0,0,11,7
2024-11-12 00:00:00+00:00,1,1,18,3
2024-11-13 00:00:00+00:00,0,0,18,8
2024-11-14 00:00:00+00:00,0,0,17,11
2024-11-15 00:00:00+00:00,1,1,22,7
2024-11-16 00:00:00+00:00,1,1,1,1
2024-11-18 00:00:00+00:00,0,0,23,9
2024-11-19 00:00:00+00:00,0,0,29,8
2024-11-20 00:00:00+00:00,2,2,11,5
2024-11-21 00:00:00+00:00,0,0,25,5
2024-11-22 00:00:00+00:00,2,2,49,18
2024-11-23 00:00:00+00:00,0,0,4,3
2024-11-24 00:00:00+00:00,2,2,1,1
2024-11-25 00:00:00+00:00,2,2,25,10
2024-11-26 00:00:00+00:00,0,0,15,9
2024-11-27 00:00:00+00:00,0,0,34,10
2024-11-28 00:00:00+00:00,1,1,60,6
2024-11-29 00:00:00+00:00,1,1,33,13
2024-11-30 00:00:00+00:00,0,0,14,7
2024-12-01 00:00:00+00:00,3,2,11,3
2024-12-02 00:00:00+00:00,1,1,95,13
2024-12-03 00:00:00+00:00,2,2,37,11
2024-12-04 00:00:00+00:00,1,1,58,10
2024-12-05 00:00:00+00:00,0,0,22,8
2024-12-06 00:00:00+00:00,0,0,9,7
2024-12-07 00:00:00+00:00,1,1,19,6
2024-12-08 00:00:00+00:00,1,1,146,3
2024-12-09 00:00:00+00:00,1,1,66,8
2024-12-10 00:00:00+00:00,0,0,33,6
2024-12-11 00:00:00+00:00,1,1,46,10
2024-12-12 00:00:00+00:00,0,0,19,6
2024-12-13 00:00:00+00:00,0,0,23,8
2024-12-14 00:00:00+00:00,0,0,17,3
2024-12-15 00:00:00+00:00,1,1,2,1
2024-12-16 00:00:00+00:00,2,2,53,9
2024-12-17 00:00:00+00:00,0,0,23,6
2024-12-18 00:00:00+00:00,1,1,10,7
