time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-04 00:00:00+00:00,0,0,5,2
2024-09-06 00:00:00+00:00,0,0,12,12
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,0,0,2,2
2024-09-17 00:00:00+00:00,0,0,23,1
2024-09-18 00:00:00+00:00,0,0,1,1
2024-09-19 00:00:00+00:00,2,2,15,2
2024-09-20 00:00:00+00:00,0,0,1,1
2024-09-21 00:00:00+00:00,0,0,1,1
2024-09-26 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,0,0,1,1
2024-10-09 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-29 00:00:00+00:00,0,0,1,1
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,9,1
2024-11-18 00:00:00+00:00,0,0,3,1
