time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,10,3,25,3
2024-08-28 00:00:00+00:00,62,3,301,42
2024-08-29 00:00:00+00:00,76,7,294,40
2024-08-30 00:00:00+00:00,57,3,284,33
2024-08-31 00:00:00+00:00,61,4,48,8
2024-09-01 00:00:00+00:00,68,5,39,6
2024-09-02 00:00:00+00:00,57,4,342,30
2024-09-03 00:00:00+00:00,63,3,366,57
2024-09-04 00:00:00+00:00,58,5,328,43
2024-09-05 00:00:00+00:00,63,8,396,36
2024-09-06 00:00:00+00:00,67,6,228,38
2024-09-07 00:00:00+00:00,65,3,11,6
2024-09-08 00:00:00+00:00,62,3,129,12
2024-09-09 00:00:00+00:00,57,6,195,31
2024-09-10 00:00:00+00:00,64,5,465,39
2024-09-11 00:00:00+00:00,77,10,350,51
2024-09-12 00:00:00+00:00,73,6,522,53
2024-09-13 00:00:00+00:00,68,6,456,37
2024-09-14 00:00:00+00:00,73,3,107,17
2024-09-15 00:00:00+00:00,54,3,34,13
2024-09-16 00:00:00+00:00,73,3,236,26
2024-09-17 00:00:00+00:00,72,9,580,41
2024-09-18 00:00:00+00:00,55,3,329,37
2024-09-19 00:00:00+00:00,69,6,317,43
2024-09-20 00:00:00+00:00,64,8,289,31
2024-09-21 00:00:00+00:00,69,4,128,8
2024-09-22 00:00:00+00:00,62,3,149,8
2024-09-23 00:00:00+00:00,71,7,344,42
2024-09-24 00:00:00+00:00,62,3,160,31
2024-09-25 00:00:00+00:00,61,4,214,36
2024-09-26 00:00:00+00:00,66,6,182,43
2024-09-27 00:00:00+00:00,71,3,134,25
2024-09-28 00:00:00+00:00,65,3,26,15
2024-09-29 00:00:00+00:00,67,3,58,17
2024-09-30 00:00:00+00:00,68,10,119,40
2024-10-01 00:00:00+00:00,58,5,198,51
2024-10-02 00:00:00+00:00,58,5,92,45
2024-10-03 00:00:00+00:00,69,5,119,35
2024-10-04 00:00:00+00:00,58,3,65,28
2024-10-05 00:00:00+00:00,69,3,15,7
2024-10-06 00:00:00+00:00,62,3,10,7
2024-10-07 00:00:00+00:00,60,4,96,26
2024-10-08 00:00:00+00:00,66,5,137,29
2024-10-09 00:00:00+00:00,59,3,165,41
2024-10-10 00:00:00+00:00,65,4,140,44
2024-10-11 00:00:00+00:00,62,5,101,41
2024-10-12 00:00:00+00:00,74,3,73,24
2024-10-13 00:00:00+00:00,74,4,25,13
2024-10-14 00:00:00+00:00,68,4,131,41
