time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,67,39,274,29
2024-08-28 00:00:00+00:00,97,25,1190,202
2024-08-29 00:00:00+00:00,110,31,1643,181
2024-08-30 00:00:00+00:00,93,18,1174,172
2024-08-31 00:00:00+00:00,65,4,227,54
2024-09-01 00:00:00+00:00,60,4,103,36
2024-09-02 00:00:00+00:00,91,27,785,142
2024-09-03 00:00:00+00:00,178,75,1839,217
2024-09-04 00:00:00+00:00,130,45,1413,181
2024-09-05 00:00:00+00:00,124,48,1252,196
2024-09-06 00:00:00+00:00,88,23,1243,163
2024-09-07 00:00:00+00:00,66,7,210,36
2024-09-08 00:00:00+00:00,69,8,238,38
2024-09-09 00:00:00+00:00,69,6,1370,172
2024-09-10 00:00:00+00:00,112,32,1841,220
2024-09-11 00:00:00+00:00,75,16,1524,196
2024-09-12 00:00:00+00:00,72,15,1501,188
2024-09-13 00:00:00+00:00,137,38,1994,191
2024-09-14 00:00:00+00:00,73,14,578,77
2024-09-15 00:00:00+00:00,80,12,183,56
2024-09-16 00:00:00+00:00,84,16,749,122
2024-09-17 00:00:00+00:00,103,29,1072,136
2024-09-18 00:00:00+00:00,86,18,1179,175
2024-09-19 00:00:00+00:00,92,16,1518,208
2024-09-20 00:00:00+00:00,95,17,1030,169
2024-09-21 00:00:00+00:00,70,6,536,57
2024-09-22 00:00:00+00:00,63,4,290,46
2024-09-23 00:00:00+00:00,83,18,1632,227
2024-09-24 00:00:00+00:00,90,18,1667,208
2024-09-25 00:00:00+00:00,66,13,1314,188
2024-09-26 00:00:00+00:00,92,17,825,199
2024-09-27 00:00:00+00:00,71,6,692,157
2024-09-28 00:00:00+00:00,70,5,193,51
2024-09-29 00:00:00+00:00,84,9,251,71
2024-09-30 00:00:00+00:00,73,5,598,159
2024-10-01 00:00:00+00:00,75,9,359,101
2024-10-02 00:00:00+00:00,65,9,438,115
2024-10-03 00:00:00+00:00,74,16,526,125
2024-10-04 00:00:00+00:00,125,46,646,129
2024-10-05 00:00:00+00:00,66,7,144,49
2024-10-06 00:00:00+00:00,68,7,195,39
2024-10-07 00:00:00+00:00,104,36,685,159
2024-10-08 00:00:00+00:00,134,42,1052,198
2024-10-09 00:00:00+00:00,97,29,985,181
2024-10-10 00:00:00+00:00,157,55,1133,188
2024-10-11 00:00:00+00:00,123,40,743,157
2024-10-12 00:00:00+00:00,288,25,590,90
2024-10-13 00:00:00+00:00,73,5,135,44
2024-10-14 00:00:00+00:00,91,13,841,189
2024-10-15 00:00:00+00:00,149,64,1085,188
2024-10-16 00:00:00+00:00,77,15,834,192
2024-10-17 00:00:00+00:00,99,19,1152,200
2024-10-18 00:00:00+00:00,97,17,851,172
2024-10-19 00:00:00+00:00,68,14,199,46
2024-10-20 00:00:00+00:00,60,4,152,41
2024-10-21 00:00:00+00:00,124,46,1022,170
2024-10-22 00:00:00+00:00,89,26,1076,220
2024-10-23 00:00:00+00:00,91,25,1128,201
2024-10-24 00:00:00+00:00,120,52,1243,201
2024-10-25 00:00:00+00:00,100,32,610,162
2024-10-26 00:00:00+00:00,70,9,161,57
2024-10-27 00:00:00+00:00,64,5,152,48
2024-10-28 00:00:00+00:00,123,49,1087,182
2024-10-29 00:00:00+00:00,80,15,785,176
2024-10-30 00:00:00+00:00,71,16,988,197
2024-10-31 00:00:00+00:00,96,23,750,161
2024-11-01 00:00:00+00:00,129,45,731,132
2024-11-02 00:00:00+00:00,60,6,178,45
2024-11-03 00:00:00+00:00,55,5,172,43
2024-11-04 00:00:00+00:00,87,26,1084,164
2024-11-05 00:00:00+00:00,78,13,686,168
2024-11-06 00:00:00+00:00,67,14,894,179
2024-11-07 00:00:00+00:00,104,41,1098,178
2024-11-08 00:00:00+00:00,64,13,714,120
2024-11-09 00:00:00+00:00,73,8,113,39
2024-11-10 00:00:00+00:00,72,6,129,40
2024-11-11 00:00:00+00:00,84,20,1080,192
2024-11-12 00:00:00+00:00,101,35,1224,189
2024-11-13 00:00:00+00:00,57,20,1111,174
2024-11-14 00:00:00+00:00,21,8,979,168
2024-11-15 00:00:00+00:00,38,20,990,178
2024-11-16 00:00:00+00:00,7,5,353,36
2024-11-17 00:00:00+00:00,2,1,207,56
2024-11-18 00:00:00+00:00,126,58,1103,198
