time_iso8601,stars_cumulative
2020-05-01 00:00:00+00:00,6
2020-05-02 00:00:00+00:00,11
2020-05-03 00:00:00+00:00,13
2020-05-04 00:00:00+00:00,18
2020-05-05 00:00:00+00:00,45
2020-05-06 00:00:00+00:00,75
2020-05-07 00:00:00+00:00,85
2020-05-08 00:00:00+00:00,92
2020-05-09 00:00:00+00:00,100
2020-05-10 00:00:00+00:00,102
2020-05-11 00:00:00+00:00,105
2020-05-12 00:00:00+00:00,110
2020-05-13 00:00:00+00:00,132
2020-05-14 00:00:00+00:00,137
2020-05-15 00:00:00+00:00,138
2020-05-16 00:00:00+00:00,141
2020-05-17 00:00:00+00:00,144
2020-05-19 00:00:00+00:00,145
2020-05-20 00:00:00+00:00,155
2020-05-21 00:00:00+00:00,162
2020-05-22 00:00:00+00:00,167
2020-05-23 00:00:00+00:00,171
2020-05-24 00:00:00+00:00,174
2020-05-25 00:00:00+00:00,179
2020-05-26 00:00:00+00:00,187
2020-05-27 00:00:00+00:00,194
2020-05-28 00:00:00+00:00,198
2020-05-29 00:00:00+00:00,200
2020-05-30 00:00:00+00:00,201
2020-05-31 00:00:00+00:00,203
2020-06-01 00:00:00+00:00,205
2020-06-02 00:00:00+00:00,206
2020-06-03 00:00:00+00:00,207
2020-06-04 00:00:00+00:00,208
2020-06-05 00:00:00+00:00,212
2020-06-06 00:00:00+00:00,213
2020-06-07 00:00:00+00:00,214
2020-06-08 00:00:00+00:00,215
2020-06-09 00:00:00+00:00,216
2020-06-10 00:00:00+00:00,217
2020-06-14 00:00:00+00:00,218
2020-06-16 00:00:00+00:00,219
2020-06-17 00:00:00+00:00,220
2020-06-22 00:00:00+00:00,224
2020-06-23 00:00:00+00:00,225
2020-06-26 00:00:00+00:00,228
2020-06-28 00:00:00+00:00,229
2020-06-29 00:00:00+00:00,230
2020-06-30 00:00:00+00:00,232
2020-07-02 00:00:00+00:00,233
2020-07-05 00:00:00+00:00,234
2020-07-08 00:00:00+00:00,235
2020-07-09 00:00:00+00:00,236
2020-07-11 00:00:00+00:00,237
2020-07-12 00:00:00+00:00,243
2020-07-14 00:00:00+00:00,247
2020-07-15 00:00:00+00:00,249
2020-07-16 00:00:00+00:00,250
2020-07-19 00:00:00+00:00,251
2020-07-22 00:00:00+00:00,252
2020-07-25 00:00:00+00:00,253
2020-07-27 00:00:00+00:00,254
2020-07-28 00:00:00+00:00,255
2020-07-29 00:00:00+00:00,258
2020-07-31 00:00:00+00:00,259
2020-08-03 00:00:00+00:00,261
2020-08-05 00:00:00+00:00,262
2020-08-06 00:00:00+00:00,264
2020-08-07 00:00:00+00:00,265
2020-08-12 00:00:00+00:00,266
2020-08-14 00:00:00+00:00,267
2020-08-19 00:00:00+00:00,268
2020-08-20 00:00:00+00:00,269
2020-08-21 00:00:00+00:00,271
2020-08-22 00:00:00+00:00,272
2020-08-25 00:00:00+00:00,276
2020-08-27 00:00:00+00:00,278
2020-08-29 00:00:00+00:00,279
2020-09-02 00:00:00+00:00,282
2020-09-03 00:00:00+00:00,283
2020-09-05 00:00:00+00:00,284
2020-09-06 00:00:00+00:00,285
2020-09-09 00:00:00+00:00,286
2020-09-10 00:00:00+00:00,289
2020-09-23 00:00:00+00:00,290
2020-09-26 00:00:00+00:00,291
2020-09-30 00:00:00+00:00,292
2020-10-13 00:00:00+00:00,293
2020-10-15 00:00:00+00:00,295
2020-10-16 00:00:00+00:00,296
2020-10-18 00:00:00+00:00,297
2020-10-20 00:00:00+00:00,298
2020-10-21 00:00:00+00:00,299
2020-10-27 00:00:00+00:00,303
2020-10-28 00:00:00+00:00,305
