time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-10 00:00:00+00:00,0,0,6,4
2024-09-11 00:00:00+00:00,0,0,3,2
2024-09-12 00:00:00+00:00,1,1,18,1
2024-09-13 00:00:00+00:00,8,7,109,3
2024-09-14 00:00:00+00:00,1,1,0,0
2024-09-18 00:00:00+00:00,0,0,6,3
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,0,0,51,2
2024-09-24 00:00:00+00:00,0,0,2,1
2024-09-25 00:00:00+00:00,0,0,31,5
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-18 00:00:00+00:00,0,0,7,1
2024-10-23 00:00:00+00:00,2,2,5,2
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,1,1
