time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,4,4,943,164
2024-08-29 00:00:00+00:00,3,1,1470,243
2024-08-30 00:00:00+00:00,1,1,1834,224
2024-08-31 00:00:00+00:00,0,0,438,96
2024-09-01 00:00:00+00:00,0,0,335,75
2024-09-02 00:00:00+00:00,4,4,1537,204
2024-09-03 00:00:00+00:00,4,4,2023,266
2024-09-04 00:00:00+00:00,1,1,2410,251
2024-09-05 00:00:00+00:00,2,2,2198,224
2024-09-06 00:00:00+00:00,4,3,1471,209
2024-09-07 00:00:00+00:00,0,0,466,76
2024-09-08 00:00:00+00:00,1,1,807,81
2024-09-09 00:00:00+00:00,5,5,1901,268
2024-09-10 00:00:00+00:00,5,5,2384,296
2024-09-11 00:00:00+00:00,8,7,3379,295
2024-09-12 00:00:00+00:00,4,4,2290,272
2024-09-13 00:00:00+00:00,3,3,2580,231
2024-09-14 00:00:00+00:00,2,2,1238,122
2024-09-15 00:00:00+00:00,2,2,638,87
2024-09-16 00:00:00+00:00,2,2,2264,212
2024-09-17 00:00:00+00:00,3,3,2133,243
2024-09-18 00:00:00+00:00,5,4,2440,301
2024-09-19 00:00:00+00:00,4,4,2793,302
2024-09-20 00:00:00+00:00,5,5,3006,258
2024-09-21 00:00:00+00:00,0,0,1076,121
2024-09-22 00:00:00+00:00,1,1,672,103
2024-09-23 00:00:00+00:00,0,0,2278,281
2024-09-24 00:00:00+00:00,1,1,2598,309
2024-09-25 00:00:00+00:00,8,6,2597,291
2024-09-26 00:00:00+00:00,4,4,1429,294
2024-09-27 00:00:00+00:00,2,2,959,254
2024-09-28 00:00:00+00:00,1,1,352,85
2024-09-29 00:00:00+00:00,1,1,584,135
2024-09-30 00:00:00+00:00,2,2,1385,278
2024-10-01 00:00:00+00:00,4,4,913,218
2024-10-02 00:00:00+00:00,6,5,789,198
2024-10-03 00:00:00+00:00,1,1,1445,249
2024-10-04 00:00:00+00:00,4,4,1083,210
2024-10-05 00:00:00+00:00,3,3,288,84
2024-10-06 00:00:00+00:00,1,1,321,97
2024-10-07 00:00:00+00:00,5,5,1533,267
2024-10-08 00:00:00+00:00,2,2,1605,287
2024-10-09 00:00:00+00:00,10,9,1467,281
2024-10-10 00:00:00+00:00,7,7,1269,257
2024-10-11 00:00:00+00:00,3,3,939,209
2024-10-12 00:00:00+00:00,0,0,425,104
2024-10-13 00:00:00+00:00,1,1,267,73
2024-10-14 00:00:00+00:00,1,1,1167,267
2024-10-15 00:00:00+00:00,1,1,1183,248
2024-10-16 00:00:00+00:00,5,5,1394,271
2024-10-17 00:00:00+00:00,9,8,1425,303
2024-10-18 00:00:00+00:00,4,4,1443,232
2024-10-19 00:00:00+00:00,0,0,483,112
2024-10-20 00:00:00+00:00,1,1,327,89
2024-10-21 00:00:00+00:00,15,10,1665,320
2024-10-22 00:00:00+00:00,5,5,1681,332
2024-10-23 00:00:00+00:00,10,6,1801,299
2024-10-24 00:00:00+00:00,11,10,1748,297
2024-10-25 00:00:00+00:00,6,4,1374,246
2024-10-26 00:00:00+00:00,6,6,509,129
2024-10-27 00:00:00+00:00,1,1,324,86
2024-10-28 00:00:00+00:00,6,5,1467,292
2024-10-29 00:00:00+00:00,4,4,2050,330
2024-10-30 00:00:00+00:00,3,3,1188,281
2024-10-31 00:00:00+00:00,2,2,1135,248
2024-11-01 00:00:00+00:00,4,4,1235,242
2024-11-02 00:00:00+00:00,1,1,369,84
2024-11-03 00:00:00+00:00,1,1,454,91
2024-11-04 00:00:00+00:00,4,4,1532,288
2024-11-05 00:00:00+00:00,7,6,2215,322
2024-11-06 00:00:00+00:00,1,1,1780,329
2024-11-07 00:00:00+00:00,2,2,1729,298
2024-11-08 00:00:00+00:00,2,2,962,226
2024-11-09 00:00:00+00:00,5,5,281,108
2024-11-10 00:00:00+00:00,2,2,295,89
2024-11-11 00:00:00+00:00,3,3,1844,286
2024-11-12 00:00:00+00:00,10,8,1771,306
2024-11-13 00:00:00+00:00,7,7,1898,357
2024-11-14 00:00:00+00:00,4,4,1344,286
2024-11-15 00:00:00+00:00,3,3,1236,256
2024-11-16 00:00:00+00:00,0,0,324,91
2024-11-17 00:00:00+00:00,0,0,484,109
2024-11-18 00:00:00+00:00,11,10,1650,289
2024-11-19 00:00:00+00:00,7,6,1539,303
2024-11-20 00:00:00+00:00,5,5,1574,302
2024-11-21 00:00:00+00:00,3,3,1221,271
2024-11-22 00:00:00+00:00,1,1,1095,263
2024-11-23 00:00:00+00:00,0,0,398,94
2024-11-24 00:00:00+00:00,0,0,166,77
2024-11-25 00:00:00+00:00,4,4,1390,247
2024-11-26 00:00:00+00:00,2,2,1408,287
2024-11-27 00:00:00+00:00,14,12,1693,290
2024-11-28 00:00:00+00:00,4,4,1416,271
2024-11-29 00:00:00+00:00,5,4,985,219
2024-11-30 00:00:00+00:00,0,0,261,89
2024-12-01 00:00:00+00:00,1,1,241,69
2024-12-02 00:00:00+00:00,6,6,1472,296
2024-12-03 00:00:00+00:00,1,1,1306,298
2024-12-04 00:00:00+00:00,3,3,1268,294
2024-12-05 00:00:00+00:00,3,3,1505,263
2024-12-06 00:00:00+00:00,3,3,1395,233
2024-12-07 00:00:00+00:00,2,2,406,93
2024-12-08 00:00:00+00:00,0,0,330,80
2024-12-09 00:00:00+00:00,3,3,1411,282
2024-12-10 00:00:00+00:00,4,4,1158,294
2024-12-11 00:00:00+00:00,5,5,1282,266
2024-12-12 00:00:00+00:00,6,6,1382,251
2024-12-13 00:00:00+00:00,3,2,1163,249
2024-12-14 00:00:00+00:00,0,0,284,83
2024-12-15 00:00:00+00:00,0,0,190,67
2024-12-16 00:00:00+00:00,2,2,1472,276
2024-12-17 00:00:00+00:00,7,6,1375,268
2024-12-18 00:00:00+00:00,1,1,804,230
2024-12-19 00:00:00+00:00,4,2,1046,227
2024-12-20 00:00:00+00:00,4,4,1099,203
2024-12-21 00:00:00+00:00,1,1,298,67
2024-12-22 00:00:00+00:00,0,0,273,88
2024-12-23 00:00:00+00:00,3,3,864,191
2024-12-24 00:00:00+00:00,4,3,765,177
2024-12-25 00:00:00+00:00,2,2,505,122
2024-12-26 00:00:00+00:00,2,2,841,200
2024-12-27 00:00:00+00:00,4,4,845,165
2024-12-28 00:00:00+00:00,0,0,255,74
2024-12-29 00:00:00+00:00,2,2,223,70
2024-12-30 00:00:00+00:00,3,3,736,155
2024-12-31 00:00:00+00:00,7,7,619,132
2025-01-01 00:00:00+00:00,0,0,204,59
2025-01-02 00:00:00+00:00,6,4,926,191
2025-01-03 00:00:00+00:00,1,1,809,196
2025-01-04 00:00:00+00:00,0,0,232,74
2025-01-05 00:00:00+00:00,0,0,263,61
2025-01-06 00:00:00+00:00,3,3,1065,233
2025-01-07 00:00:00+00:00,3,3,1442,229
2025-01-08 00:00:00+00:00,5,3,1039,240
2025-01-09 00:00:00+00:00,9,9,1088,263
2025-01-10 00:00:00+00:00,4,4,843,222
2025-01-11 00:00:00+00:00,2,2,278,74
2025-01-12 00:00:00+00:00,2,2,180,69
2025-01-13 00:00:00+00:00,1,1,932,237
2025-01-14 00:00:00+00:00,5,4,971,220
2025-01-15 00:00:00+00:00,3,3,990,229
2025-01-16 00:00:00+00:00,5,3,997,219
2025-01-17 00:00:00+00:00,4,3,991,221
2025-01-18 00:00:00+00:00,2,2,474,134
2025-01-19 00:00:00+00:00,1,1,371,106
2025-01-20 00:00:00+00:00,4,4,1017,242
2025-01-21 00:00:00+00:00,6,6,1376,253
2025-01-22 00:00:00+00:00,8,8,1530,270
2025-01-23 00:00:00+00:00,4,4,1153,268
2025-01-24 00:00:00+00:00,2,2,1020,230
2025-01-25 00:00:00+00:00,2,2,428,84
2025-01-26 00:00:00+00:00,0,0,385,87
2025-01-27 00:00:00+00:00,4,4,1095,212
2025-01-28 00:00:00+00:00,2,2,704,176
2025-01-29 00:00:00+00:00,6,5,879,208
2025-01-30 00:00:00+00:00,5,5,717,180
2025-01-31 00:00:00+00:00,10,8,730,177
2025-02-01 00:00:00+00:00,1,1,221,81
