time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,3,3,0,0
2024-08-28 00:00:00+00:00,10,8,8,1
2024-08-29 00:00:00+00:00,8,8,55,6
2024-08-30 00:00:00+00:00,16,14,0,0
2024-08-31 00:00:00+00:00,6,6,36,3
2024-09-01 00:00:00+00:00,3,3,12,4
2024-09-02 00:00:00+00:00,8,8,19,3
2024-09-03 00:00:00+00:00,8,8,3,1
2024-09-04 00:00:00+00:00,5,5,3,2
2024-09-05 00:00:00+00:00,16,13,0,0
2024-09-06 00:00:00+00:00,7,7,8,2
2024-09-07 00:00:00+00:00,11,7,3,2
2024-09-08 00:00:00+00:00,15,11,5,2
2024-09-09 00:00:00+00:00,12,9,0,0
2024-09-10 00:00:00+00:00,9,7,0,0
2024-09-11 00:00:00+00:00,7,6,4,3
2024-09-12 00:00:00+00:00,9,8,34,3
2024-09-13 00:00:00+00:00,8,8,123,3
2024-09-14 00:00:00+00:00,7,7,6,1
2024-09-15 00:00:00+00:00,3,3,3,3
2024-09-16 00:00:00+00:00,4,4,1,1
2024-09-17 00:00:00+00:00,8,7,8,3
2024-09-18 00:00:00+00:00,5,5,28,7
2024-09-19 00:00:00+00:00,14,14,15,2
2024-09-20 00:00:00+00:00,10,9,0,0
2024-09-21 00:00:00+00:00,6,5,9,1
2024-09-22 00:00:00+00:00,14,5,14,2
2024-09-23 00:00:00+00:00,15,8,2,2
2024-09-24 00:00:00+00:00,13,12,9,3
2024-09-25 00:00:00+00:00,26,9,33,5
2024-09-26 00:00:00+00:00,6,6,26,2
2024-09-27 00:00:00+00:00,9,7,8,1
2024-09-28 00:00:00+00:00,16,13,3,1
2024-09-29 00:00:00+00:00,10,8,8,3
2024-09-30 00:00:00+00:00,12,10,2,2
2024-10-01 00:00:00+00:00,8,3,2,1
2024-10-02 00:00:00+00:00,8,8,2,2
2024-10-03 00:00:00+00:00,13,13,6,3
2024-10-04 00:00:00+00:00,11,11,15,5
2024-10-05 00:00:00+00:00,11,10,8,4
2024-10-06 00:00:00+00:00,4,4,10,2
2024-10-07 00:00:00+00:00,9,6,3,2
2024-10-08 00:00:00+00:00,8,7,30,5
2024-10-09 00:00:00+00:00,5,5,4,2
2024-10-10 00:00:00+00:00,13,10,11,2
2024-10-11 00:00:00+00:00,40,10,26,5
2024-10-12 00:00:00+00:00,21,12,4,4
2024-10-13 00:00:00+00:00,12,5,2,2
2024-10-14 00:00:00+00:00,4,3,20,3
2024-10-15 00:00:00+00:00,9,9,19,4
2024-10-16 00:00:00+00:00,9,9,4,2
2024-10-17 00:00:00+00:00,16,16,7,2
2024-10-18 00:00:00+00:00,8,7,21,3
2024-10-19 00:00:00+00:00,20,11,2,1
2024-10-20 00:00:00+00:00,7,7,13,3
2024-10-21 00:00:00+00:00,16,14,1,1
2024-10-22 00:00:00+00:00,5,4,1,1
2024-10-23 00:00:00+00:00,13,11,1,1
2024-10-24 00:00:00+00:00,11,10,6,1
2024-10-25 00:00:00+00:00,12,11,9,3
2024-10-26 00:00:00+00:00,5,4,36,3
2024-10-27 00:00:00+00:00,14,12,1,1
2024-10-28 00:00:00+00:00,11,7,5,3
2024-10-29 00:00:00+00:00,10,9,12,5
2024-10-30 00:00:00+00:00,12,8,7,1
2024-10-31 00:00:00+00:00,11,8,1,1
2024-11-01 00:00:00+00:00,8,6,13,4
2024-11-02 00:00:00+00:00,11,8,1,1
2024-11-03 00:00:00+00:00,5,5,4,3
2024-11-04 00:00:00+00:00,9,9,0,0
2024-11-05 00:00:00+00:00,8,7,2,2
2024-11-06 00:00:00+00:00,10,8,7,1
2024-11-07 00:00:00+00:00,7,7,10,5
